papa,mama,hermano,comer,futbol,carro,perro,esposa,casa,iglesia
1.00,0.98,0.82,0.75,0.18,0.75,0.95,0.12,0.85,0.44
0.85,1.00,0.89,0.75,0.97,0.84,0.71,0.78,0.51,0.41
0.12,0.95,1.00,0.75,0.47,0.46,0.91,0.47,0.96,0.71
0.45,0.47,0.74,1.00,0.46,0.34,0.34,0.37,0.81,0.91
0.96,0.04,0.93,0.19,1.00,0.24,0.74,0.71,0.71,0.71
0.47,0.74,0.82,0.82,0.85,1.00,0.95,0.81,0.64,0.64
0.73,0.38,0.28,0.75,0.31,0.64,1.00,0.14,0.81,0.82
0.94,0.17,0.37,0.38,0.81,0.46,0.54,1.00,0.79,0.74
0.64,0.62,0.91,0.74,0.71,0.15,0.91,0.18,1.00,0.44
0.37,0.47,0.81,0.51,0.43,0.57,0.89,0.46,0.85,1.00
